# Opus Dictionary - LLM-generated transliterations
# Format: Thai<TAB>Romanization
# This file is auto-generated from corpus test failures
# and filled in by Claude Opus
กฎระเบียบ	gòt-rá~bìiap
ดีซ่าน	dii-sâan
ดีวีดี	dii-wii-dii
ดีไซเนอร์	dii-sai-nəə
ดีไม่ดี	dii-mâi-dii
ดี้	díi
ดึก	dʉ̀k
ดึ๋งดั๋ง	dʉ̌ng-dǎng
ดุลย	dun
ดูก่อน	duu-gɔ̀ɔn
ดูดิ	duu-dì
ดูดี	duu-dii
ด็อก	dɔ́k
ด้านนอก	dâan-nɔ̂ɔk
ด้านบน	dâan-bon
ด้านล่าง	dâan-lâang
ด้านใน	dâan-nai
ตกงาน	dtòk-ngaan
ตกตะกอน	dtòk-dtà~gɔɔn
ตกน้ำ	dtòk-nám
ตกหลุม	dtòk-lǔm
ตกไป	dtòk-bpai
ตงิดๆ	dtà~ngít-dtà~ngít
ตด	dtòt
ตรงจุด	dtrong-jùt
ตรงๆ	dtrong-dtrong
ตรม	dtrom
ตรวจสอบ	dtrùuat-sɔ̀ɔp
ตระเวน	dtrà~ween
ตรึม	dtrʉm
ตรุษจีน	dtrùt-jiin
ตลาดหุ้น	dtà~làat-hûn
ตอ	dtɔɔ
ตอนกลางคืน	dtɔɔn-glaang-kʉʉn
ตอนกลางวัน	dtɔɔn-glaang-wan
ตอนที่	dtɔɔn-tîi
ตอนบ่าย	dtɔɔn-bàai
ตอนแรก	dtɔɔn-rɛ̂ɛk
ตอบสนอง	dtɔ̀ɔp-sà~nɔ̌ɔng
ตอม	dtɔɔm
ตะ	dtà
ตะกี้	dtà~gíi
ตะลุย	dtà~lui
ตัก	dtàk
ตังค์	dtang
ตัดรอน	dtàt-rɔɔn
ตัดสิทธิ์	dtàt-sìt
ตัน	dtan
ตับ	dtàp
ตัวจริง	dtuua-jing
ตัวประกัน	dtuua-bprà~gan
ตัวเรา	dtuua-rao
ตัวเล็ก	dtuua-lék
ตัวเหลือง	dtuua-lʉ̌ʉang
ตัส	dtàt
ตั้งฉาก	dtâng-chàak
ตั้งสติ	dtâng-sà~dtì
ตั้งสมาธิ	dtâng-sà~maa-tí
ตั้ว	dtûua
ตากล้อง	dtaa-glɔ̂ng
ตากแดด	dtàak-dɛ̀ɛt
ตาฝาด	dtaa-fàat
ตามปกติ	dtaam-bpà~gà~dtì
ตามอัธยาศัย	dtaam-àt-tá~yaa-sǎi
ตาราง	dtaa-raang
ตาลาย	dtaa-laai
ตาสว่าง	dtaa-sà~wàang
ตาเหลือง	dtaa-lʉ̌ʉang
ตาแดง	dtaa-dɛɛng
ตำนาน	dtam-naan
ติก	dtìk
ติดคอ	dtìt-kɔɔ
ติดค้าง	dtìt-káang
ติดต่อ	dtìt-dtɔ̀ɔ
ติดปลายนวม	dtìt-bplaai-nuuam
ติดมือ	dtìt-mʉʉ
ติดหนี้	dtìt-nîi
ติวเตอร์	dtiu-dtə̂ə
ตีบ	dtìip
ตีฝ่า	dtii-fàa
ตี้	dtíi
ตี๋	dtǐi
ตื่นขึ้น	dtʉ̀ʉn-kʉ̂n
ตื๊อ	dtʉ́ʉ
ตุกติก	dtùk-dtìk
ตุ่ม	dtùm
ตุ้ม	dtûm
ตุ๋น	dtǔn
ต่อให้	dtɔ̀ɔ-hâi
ต่างหาก	dtàang-hàak
ต่าย	dtàai
ต้นทุน	dtôn-tun
ต้อ	dtɔ̂ɔ
ต้องสู้	dtɔ̂ng-sûu
ต้อยต่ำ	dtɔ̂i-dtàm
ต้าลง	dtâa-long
ต๊อ	dtɔ́ɔ
ต๊อบ	dtɔ́p
ต๊อบขอ	dtɔ́p-kɔ̌ɔ
ต๊อบๆ	dtɔ́p-dtɔ́p
ต์	dtɔɔ
ถล่ม	tà~lòm
ถอนทุน	tɔ̌ɔn-tun
ถอนเงิน	tɔ̌ɔn-ngən
ถอยรถ	tɔ̌ɔi-rót
ถา	tǎa
ถี่	tìi
ถึงขั้น	tʉ̌ng-kân
ถึงตาย	tʉ̌ng-dtaai
ถึงที่	tʉ̌ng-tîi
ถึงที่สุด	tʉ̌ng-tîi-sùt
ถึงเงิน	tʉ̌ng-ngən
ถูกหวย	tùuk-hǔuai
ถ่ายภาพ	tàai-pâap
ถ่ายโอน	tàai-oon
ถ้อยคำ	tɔ̂i-kam
ถ้าอย่างนั้น	tâa-yàang-nán
ทธัส	tát
ทนทุกข์	ton-túk
ทบ	tóp
ทรชน	tɔɔ-rá~chon
ทรมาน	tɔɔ-rá~maan
ทรวง	suuang
ทรัพย์สิน	sáp-sǐn
ทริป	tríp
ทวง	tuuang
ทวงหนี้	tuuang-nîi
ทวน	tuuan
ทวี	tá~wii
ทศนิยม	tót-sà~ní-yom
ทหาร	tá~hǎan
ทองกวาว	tɔɔng-gwaao
ทอด	tɔ̂ɔt
ทอดที่	tɔ̂ɔt-tîi
ทอม	tɔɔm
ทะ	tá
ทะเบียน	tá~biian
ทะเลาะ	tá~lɔ́
ทะเลาะเบาะแว้ง	tá~lɔ́-bɔ̀-wɛ́ɛng
ทันกิน	tan-gin
ทัวร์	tuua
ทั่วถึงกัน	tûua-tʉ̌ng-gan
ทั่วประเทศ	tûua-bprà~têet
ทั้งกายและใจ	táng-gaai-lɛ́-jai
ทั้งที	táng-tii
ทั้งผอง	táng-pɔ̌ɔng
ทั้งวัน	táng-wan
ทั้งเมือง	táng-mʉʉang
ทา	taa
ทางนู้น	taang-nûun
ทางวัฒนธรรม	taang-wát-tá~ná~tam
ทางเพศ	taang-pêet
ทางโน้น	taang-nóon
ทายใจ	taai-jai
ทาวน์เฮาส์	taao-háo
ทาสี	taa-sǐi
ทำการ	tam-gaan
ทำงาน	tam-ngaan
ทำดี	tam-dii
ทำตา	tam-dtaa
ทำต่อ	tam-dtɔ̀ɔ
ทำปฏิกิริยา	tam-bpà~dtì~gì~rí~yaa
ทำสำเร็จ	tam-sǎm-rèt
ทำเป็น	tam-bpen
ทำเล	tam-lee
ทิ่มแทง	tìm-tɛɛng
ทีน	tiin
ทีนี้	tii-níi
ทีมงาน	tiim-ngaan
ทีแรก	tii-rɛ̂ɛk
ทีไร	tii-rai
ที่จับ	tîi-jàp
ที่นั่ง	tîi-nâng
ที่นั่น	tîi-nân
ที่ประชุม	tîi-bprà~chum
ที่มา	tîi-maa
ที่รัก	tîi-rák
ที่วัด	tîi-wát
ที่ว่า	tîi-wâa
ที่สาม	tîi-sǎam
ที่สี่	tîi-sìi
ที่หนึ่ง	tîi-nʉ̀ng
ที่อื่น	tîi-ʉ̀ʉn
ทึบ	tʉ́p
ทุ	tú
ทุกครั้งที่	túk-kráng-tîi
ทุกคืน	túk-kʉʉn
ทุกปี	túk-bpii
ทุกวัน	túk-wan
ทุกวันนี้	túk-wan-níi
ทุ่ง	tûng
ทู	tuu
ท่อน	tɔ̂n
ท่อนไม้	tɔ̂n-máai
ท่อน้ำ	tɔ̂ɔ-nám
ท่านชาย	tâan-chaai
ท่านหญิง	tâan-yǐng
ท่ามกลาง	tâam-glaang
ท้อ	tɔ́ɔ
ท้องทุ่ง	tɔ́ɔng-tûng
ท้องนา	tɔ́ɔng-naa
ท้องฟ้า	tɔ́ɔng-fáa
ท้องเสีย	tɔ́ɔng-sǐia
ท๊อป	tɔ́p
ท์	tɔɔ
ธน	ton
ธรณี	tɔɔ-rá~nii
ธรรมาสน์	tam-mâat
ธา	taa
ธีม	tiim
นก	nók
นกกะปูด	nók-gà~bpùut
นกจาก	nók-jàak
นกหวีด	nók-wìit
นกเขา	nók-kǎo
นครสวรรค์	ná~kɔɔn-sà~wǎn
นคะ	ná~ká
นนท์	non
นพ	nóp
นภา	ná~paa
นร	nɔɔn
นลิน	ná~lin
นวย	nuuai
นอกนั้น	nɔ̂ɔk-nán
นอกลู่นอกทาง	nɔ̂ɔk-lûu-nɔ̂ɔk-taang
นอนค้าง	nɔɔn-káang
นอนไม่หลับ	nɔɔn-mâi-làp
นักกีฬา	nák-gii-laa
นักพนัน	nák-pá~nan
นักฟุตบอล	nák-fút-bɔɔn
นักร้อง	nák-rɔ́ɔng
นักเรียนทุน	nák-riian-tun
นักแสดง	nák-sà~dɛɛng
นัง	nang
นับ	náp
นับประสาอะไร	náp-bprà~sǎa-à~rai
นัยน์ตา	nai-dtaa
นั่งสมาธิ	nâng-sà~maa-tí
นั่นแหละ	nân-lɛ̀
นั่นไง	nân-ngai
นางกวัก	naang-gwàk
นางแบบ	naang-bɛ̀ɛp
นางใน	naang-nai
นาฏศิลป์	nâat-sǐn
นาที	naa-tii
นานมาแล้ว	naan-maa-lɛ́ɛo
นานๆ	naan-naan
นายพราน	naai-praan
นาฬิกา	naa-lí~gaa
นำทาง	nam-taang
นำเสนอ	nam-sà~nə̌ə
นำแสดง	nam-sà~dɛɛng
นิดนึง	nít-nʉng
นิดหนึ่ง	nít-nʉ̀ng
นิตย์	nít
นิทรรศการ	ní-tát-sà~gaan
นิทรา	ní-traa
นิพจน์	ní-pót
นิล	nin
นิวยอร์ก	níu-yɔ̂ɔk
นิเทศ	ní-têet
นิ่ม	nîm
นิ้วก้อย	níu-gɔ̂i
นึง	nʉng
นๆ	nɔɔ-nɔɔ
น่าจะเป็น	nâa-jà-bpen
น่าอิจฉา	nâa-ìt-chǎa
น้องๆ	nɔ́ng-nɔ́ng
น้อย	nɔ́i
น้ำกิน	nám-gin
น้ำขึ้น	nám-kʉ̂n
น้ำข้าว	nám-kâao
น้ำตา	nám-dtaa
น้ำปลา	nám-bplaa
น้ำเคย	nám-kəəi
น้ำเน่า	nám-nâo
น๊า	náa
บดี	bɔɔ-dii
บรม	bɔɔ-rom
บรรจง	ban-jong
บรา	braa
บริบูรณ์	bɔɔ-rí~buun
บวม	buuam
บอกทาง	bɔ̀ɔk-taang
บอนด์	bɔɔn
บอย	bɔɔi
บอร์ด	bɔ̀ɔt
บอล	bɔɔn
บอสตัน	bɔ́ɔt-dtân
บัง	bang
บังกะโล	bang-gà~loo
บัญชา	ban-chaa
บัญชี	ban-chii
บัดนี้	bàt-níi
บับเบิ้ล	báp-bə̂ən
บา	baa
บากหน้า	bàak-nâa
บาท	bàat
บาย	baai
บาล์ม	baam
บิ๊ก	bík
บี	bii
บีทีเอส	bii-tii-ét
บุกน้ำลุยไฟ	bùk-nám-lui-fai
บุกเบิก	bùk-bə̀ək
บุญบารมี	bun-baa-rá~mii
บุฟเฟ่ต์	bú-fêe
บุรุษ	bù-rùt
บุ๊ก	búk
บุ๋งๆ	bǔng-bǔng
บู๊	búu
บเอ	bɔɔ-ee
บ่	bɔ̀ɔ
บ่อนทำลาย	bɔ̀n-tam-laai
บ้าน	bâan
บ้านพัก	bâan-pák
บ้านเดี่ยว	bâan-dìiao
บ๊ายบาย	báai-baai
ปก	bpòk
ปฏิบัติภารกิจ	bpà~dtì~bàt-paa-rá~gìt
ปฐพี	bpà~tà~pii
ปฐมทัศน์	bpà~tǒm-tát
ปทุม	bpà~tum
ปม	bpom
ปรนัย	bpɔɔ-rá~nai
ประ	bprà
ประกันตัว	bprà~gan-dtuua
ประจวบ	bprà~jùuap
ประจำจังหวัด	bprà~jam-jang-wàt
ประจำตำแหน่ง	bprà~jam-dtam-nɛ̀ng
ประจำสัปดาห์	bprà~jam-sàp-daa
ประชัน	bprà~chan
ประชาสัมพันธ์	bprà~chaa-sǎm-pan
ประพฤติ	bprà~prʉ́t
ประมูล	bprà~muun
ประวัติส่วนตัว	bprà~wàt-sùuan-dtuua
ประสบความสำเร็จ	bprà~sòp-kwaam-sǎm-rèt
ประสา	bprà~sǎa
ประเดิม	bprà~dəəm
ประเดี๋ยว	bprà~dǐiao
ปรียา	bprii-yaa
ปร๋อ	bprɔ̌ɔ
ปล.	bpɔɔ-lɔɔ
ปลด	bplòt
ปลอมตัว	bplɔɔm-dtuua
ปลา	bplaa
ปลาตะเพียน	bplaa-dtà~piian
ปลาหมึก	bplaa-mʉ̀k
ปลิ้นปล้อน	bplîn-bplɔ̂n
ปล่อง	bplɔ̀ng
ปวดหัว	bpùuat-hǔua
ปัง	bpang
ปัจจุบันนี้	bpàt-jù~ban-níi
ปัญญา	bpan-yaa
ปั้น	bpân
ปากจู๋	bpàak-jǔu
ปากหมา	bpàak-mǎa
ปากเสีย	bpàak-sǐia
ปาฏิหาริย์	bpaa-dtì~hǎan
ปาน	bpaan
ปาร์ตี้	bpaa-dtîi
ปิงปอง	bping-bpɔɔng
ปิดบัญชี	bpìt-ban-chii
ปิดประตู	bpìt-bprà~dtuu
ปิดเทอม	bpìt-təəm
ปิดไฟ	bpìt-fai
ปิ่น	bpìn
ปีกกล้าขาแข็ง	bpìik-glâa-kǎa-kɛ̌ng
ปีหน้า	bpii-nâa
ปี่	bpìi
ปี้	bpíi
ปุย	bpui
ปุ๊	bpú
ปูพื้น	bpuu-pʉ́ʉn
ป่น	bpòn
ป่านนี้	bpàan-níi
ป่าว	bpàao
ป้วนเปี้ยน	bpûuan-bpîian
ป้องกันตัว	bpɔ̂ng-gan-dtuua
ป้าบ	bpâap
ป๊อด	bpɔ́t
ป๊อบ	bpɔ́p
ป๊อปคอร์น	bpɔ́p-kɔɔn
ป๊ะ	bpá
ป๊า	bpáa
ผงาด	pà~ngàat
ผนึก	pà~nʉ̀k
ผมหงอก	pǒm-ngɔ̀ɔk
ผลีผลาม	pà~lǐi-pà~lǎam
ผอ.	pɔ̌ɔ-ɔɔ
ผัน	pǎn
ผันแปร	pǎn-bprɛɛ
ผิง	pǐng
ผึ้ง	pʉ̂ng
ผื่น	pʉ̀ʉn
ผู้	pûu
ผู้กอง	pûu-gɔɔng
ผู้คน	pûu-kon
ผู้ชม	pûu-chom
ผู้บริสุทธิ์	pûu-bɔɔ-rí~sùt
ผู้ปกครอง	pûu-bpòk-krɔɔng
ผู้มีเกียรติ	pûu-mii-gìiat
ผู้หญิง	pûu-yǐng
ผู้เสียชีวิต	pûu-sǐia-chii-wít
ผู้โดยสาร	pûu-dooi-sǎan
ผ่า	pàa
ผ่านหน้า	pàan-nâa
ผ้าขี้ริ้ว	pâa-kîi-ríu
ฝันใฝ่	fǎn-fài
ฝากเงิน	fàak-ngən
ฝาครอบ	fǎa-krɔ̂ɔp
ฝึกซ้อม	fʉ̀k-sɔ́ɔm
ฝ่ายปกครอง	fàai-bpòk-krɔɔng
พงษ์	pong
พจมาน	pót-jà~maan
พนธ์	pon
พยัคฆ	pá~yák
พยาธิ	pá~yaat
พยาบาล	pá~yaa-baan
พระครู	prá-kruu
พระคุณเจ้า	prá-kun-jâo
พระนคร	prá-ná~kɔɔn
พระนาง	prá-naang
พระราชทาน	prá-râat-chá~taan
พระองค์	prá-ong
พระเครื่อง	prá-krʉ̂ʉang
พระเอก	prá-èek
พรายตานี	praai-dtaa-nii
พราว	praao
พรินต์	prin
พรีเซนต์	prii-sen
พร่ำเพ้อ	prâm-pə́ə
พร้อมกัน	prɔ́ɔm-gan
พร้อมกับ	prɔ́ɔm-gàp
พร้อมด้วย	prɔ́ɔm-dûuai
พล	pon
พละ	pá~lá
พลั้งเผลอ	pláng-plə̌ə
พลาสติก	pláat-sà~dtìk
พลาสเตอร์	pláat-sà~dtəə
พลิ้ว	plíu
พลิ้วไหว	plíu-wǎi
พลี	plii
พลู	pluu
พล่าม	plâam
พวงมาลัย	puuang-maa-lai
พวงหรีด	puuang-rìit
พอกัน	pɔɔ-gan
พอกับ	pɔɔ-gàp
พอยต์	pɔi
พอร์ต	pɔ̀ɔt
พอให้	pɔɔ-hâi
พักพิง	pák-ping
พักใหญ่	pák-yài
พัฒน์	pát
พัฒน์ๆ	pát-pát
พัทธ์	pát
พากย์	pâak
พาย	paai
พารากอน	paa-raa-gɔɔn
พาสปอร์ต	pâat-sà~bpɔ̀ɔt
พิชิต	pí-chít
พิถีพิถัน	pí-tǐi-pí-tǎn
พิม	pim
พิมพ์ดีด	pim-dìit
พิษณุโลก	pít-sà~nú~lôok
พี	pii
พีอาร์	pii-aa
พุ	pú
พุทธ	pút
พูดความจริง	pûut-kwaam-jing
พูดว่า	pûut-wâa
พ่อหนู	pɔ̂ɔ-nǔu
พ่อเลี้ยง	pɔ̂ɔ-líiang
ฟลุ๊ก	flúk
ฟอง	fɔɔng
ฟังได้	fang-dâai
ฟัน	fan
ฟาง	faang
ฟิล์ม	fim
ฟิวชัน	fiu-chân
ฟี	fii
ฟุตบอล	fút-bɔɔn
ฟู	fuu
ฟ์
ภรรยา	pan-rá~yaa
ภะ	pá
ภาคเหนือ	pâak-nʉ̌ʉa
ภาพถ่าย	pâap-tàai
ภาพยนตร์	pâap-pá~yon
ภาษาละติน	paa-sǎa-lá~dtin
ภาษาไทย	paa-sǎa-tai
ภุม	pum
มงคล	mong-kon
มงคลสมรส	mong-kon-sǒm-rót
มงคลสมัย	mong-kon-sà~mǎi
มณี	má~nii
มดี	má~dii
มติ	má~dtì
มน	mon
มนต์	mon
มนัสวี	má~nát-sà~wii
มรกต	mɔɔ-rá~gòt
มลิน	má~lin
มวลสาร	muuan-sǎan
มหาลัย	má~hǎa-lai
มอ	mɔɔ
มองว่า	mɔɔng-wâa
มองหน้า	mɔɔng-nâa
มองเห็น	mɔɔng-hěn
มัด	mát
มันดี	man-dii
มันเทศ	man-têet
มันแข็ง	man-kɛ̌ng
มัวแต่	muua-dtɛ̀
มั่ง	mâng
มั่น	mân
มั้ย	mái
มาตรการ	mâat-dtrà~gaan
มาม่า	maa-mâa
มายา	maa-yaa
มารผจญ	maan-pà~jon
มารศรี	maan-sǐi
มาร์จิ้น	maa-jîn
มาร์ต	máat
มาสาย	maa-sǎai
มิ	mí
มิจฉาชีพ	mít-chǎa-chîip
มิชลิน	mít-chá~lin
มิดไนท์	mít-nai
มิตร	mít
มินิ	mí~nî
มิวนิก	miu-ník
มิวสิค	miu-sík
มิส	mít
มิสเตอร์	mít-sà~dtəə
มีครอบครัว	mii-krɔ̂ɔp-kruua
มีความผิด	mii-kwaam-pìt
มีความรู้สึก	mii-kwaam-rúu-sʉ̀k
มีความสุข	mii-kwaam-sùk
มีชัย	mii-chai
มีชีวิต	mii-chii-wít
มีทาง	mii-taang
มีนัด	mii-nát
มีพรสวรรค์	mii-pɔɔn-sà~wǎn
มีระบบ	mii-rá~bòp
มีลูก	mii-lûuk
มีส่วน	mii-sùuan
มีหวัง	mii-wǎng
มีเงิน	mii-ngən
มีเพศสัมพันธ์	mii-pêet-sǎm-pan
มีเรื่อง	mii-rʉ̂ʉang
มืดมิด	mʉ̂ʉt-mít
มุ	mú
มุก	múk
มุ่ย	mûi
มๆ	mɔɔ-mɔɔ
ม่อน	mɔ̂n
ม่า	mâa
ม่าน	mâan
ม่ารอ	mâa-rɔɔ
ม้วน	múuan
ยกรณ์	yók-gɔɔn
ยมทูต	yom-má~tûut
ยวะ	yá~wá
ยอก	yɔ̂ɔk
ยอดจาก	yɔ̂ɔt-jàak
ยอดนิยม	yɔ̂ɔt-ní-yom
ยอดรวม	yɔ̂ɔt-ruuam
ยังมี	yang-mii
ยันต์	yan
ยับ	yáp
ยั่งยืน	yâng-yʉʉn
ยั่วยุ	yûua-yú
ยากแค้น	yâak-kɛ́ɛn
ยาถ่าย	yaa-tàai
ยาธาตุ	yaa-tâat
ยาน	yaan
ยาประสะ	yaa-bprà~sà
ยามค่ำคืน	yaam-kâm-kʉʉn
ยามาฮ่า	yaa-maa-hâa
ยาเสพติด	yaa-sèep-dtìt
ยิน	yin
ยิ่งกว่า	yîng-gwàa
ยี่	yîi
ยี่สิบ	yîi-sìp
ยุ	yú
ยู	yuu
ยูเอสเอ	yuu-eet-ee
ยู่	yûu
ยโส	yá~sǒo
ย่อย	yɔ̂i
ย่ะ	yâ
ย้อน	yɔ́ɔn
ย้อนหลัง	yɔ́ɔn-lǎng
ย้ายออก	yáai-ɔ̀ɔk
ร.	rɔɔ
รซ	rót-sá
รด	rót
รดี	rá~dii
รถทัวร์	rót-tuua
รถบ้าน	rót-bâan
รถส่วนบุคคล	rót-sùuan-bùk-kon
รถเข็น	rót-kěn
รถไฟฟ้า	rót-fai-fáa
รท	rót-tá
รปภ.	rɔɔ-bpɔɔ-pɔɔ
รวบ	rûuap
รวบรัด	rûuap-rát
รสชาติ	rót-châat
รส์	rót
รหัสสินค้า	rá~hàt-sǐn-káa
รอ.	rɔɔ-ɔɔ
รอคอย	rɔɔ-kɔɔi
รอดชีวิต	rɔ̂ɔt-chii-wít
รอนแรม	rɔɔn-rɛɛm
รอยเท้า	rɔɔi-táao
รอหน้า	rɔɔ-nâa
ระดับอาวุโส	rá~dàp-aa-wú~sǒo
ระบือ	rá~bʉʉ
ระยะ	rá~yá
ระยะใกล้	rá~yá-glâi
ระรื่น	rá~rʉ̂ʉn
ระลึกถึง	rá~lʉ́k-tʉ̌ng
ระแวง	rá~wɛɛng
รักเดียว	rák-diiao
รัง	rang
รัตน์	rát
รัน	ran
รับงาน	ráp-ngaan
รับจ้าง	ráp-jâang
รับน้อง	ráp-nɔ́ng
รับมรดก	ráp-mɔɔ-rá~dòk
รับรู้	ráp-rúu
รับสมัคร	ráp-sà~màk
รับโทษ	ráp-tôot
รับได้	ráp-dâai
รั่วไหล	rûua-lǎi
ราคา	raa-kaa
ราช	râat
ราชการ	râat-chá~gaan
ราม	raam
รายการโทรทัศน์	raai-gaan-too-rá~tát
รายชื่อ	raai-chʉ̂ʉ
รายปักษ์	raai-bpàk
ราษฎร์	râat
รำ	ram
รำไร	ram-rai
ริน	rin
ริ้งก์	ring
รี	rii
รีด	rîit
รีสอร์ต	rii-sɔ̀ɔt
รีโมต	rii-mòot
รีไทร์	rii-tai
รี่	rîi
รึเปล่า	rʉ́-bplào
รุจิรา	rú~jì~raa
รุม	rum
รุ่ง	rûng
รู	ruu
รูปร่าง	rûup-râang
รู้กัน	rúu-gan
รู้คุณ	rúu-kun
รู้ถึงหู	rúu-tʉ̌ng-hǔu
รู้อยู่	rúu-yùu
ร่วน	rûuan
ร่วมชีวิต	rûuam-chii-wít
ร่วมวง	rûuam-wong
ร่า	râa
ร้อน	rɔ́ɔn
ร้อนรน	rɔ́ɔn-ron
ร้าง	ráang
ร้านหนังสือ	ráan-nǎng~sʉ̌ʉ
ร้าวราน	ráao-raan
ร์
ฤๅษี	rʉʉ-sǐi
ล.	lɔɔ
ลงคอ	long-kɔɔ
ลงชื่อ	long-chʉ̂ʉ
ลงทุน	long-tun
ลด์	lót
ลพบุรี	lóp-bù~rii
ลมขึ้น	lom-kʉ̂n
ลลีย์	lá~lii
ลล่าร์	lɔɔn-lâa
ลวก	lûuak
ลอกเลียนแบบ	lɔ̂ɔk-liian-bɛ̀ɛp
ลอนดอน	lɔɔn-dɔɔn
ลอบกัด	lɔ̂ɔp-gàt
ลอย	lɔɔi
ละครลิง	lá~kɔɔn-ling
ละครเวที	lá~kɔɔn-wee-tii
ละมา	lá~maa
ละลุง	lá~lung
ละเมอ	lá~məə
ละเอียดยิบ	lá~ìiat-yíp
ลับตา	láp-dtaa
ลัว	luua
ลากเส้น	lâak-sên
ลางาน	laa-ngaan
ลาบ	lâap
ลาย	laai
ลาออก	laa-ɔ̀ɔk
ลำธาร	lam-taan
ลำปาง	lam-bpaang
ลิ	lí
ลิง	ling
ลิปสติก	líp-sà~dtìk
ลิลลี่	lin-lîi
ลี่	lîi
ลื่น	lʉ̂ʉn
ลื้อ	lʉ́ʉ
ลุ	lú
ลุก	lúk
ลุกลาม	lúk-laam
ลุง	lung
ลุ่มหลง	lûm-lǒng
ลู	luu
ลูก	lûuk
ลูกค้าประจำ	lûuk-káa-bprà~jam
ลูกจ้าง	lûuk-jâang
ลูกทุ่ง	lûuk-tûng
ลูกผู้ชาย	lûuk-pûu-chaai
ลูกพี่ลูกน้อง	lûuk-pîi-lûuk-nɔ́ng
ลูกสะใภ้	lûuk-sà~pái
ลูกหลาน	lûuk-lǎan
ลูกเจี๊ยบ	lûuk-jíap
ลูกเมียน้อย	lûuk-miia-nɔ́i
ลูกโทษ	lûuk-tôot
ลเล็ต	lét
ลเล๊นซ์	len
ลๆ	lɔɔ-lɔɔ
ล็อต	lɔ́t
ล่อแหลม	lɔ̂ɔ-lɛ̌ɛm
ล่ำสัน	lâm-sǎn
ล้ง	lóng
ล้น	lón
ล้วงตับ	lúuang-dtàp
ล้อม	lɔ́ɔm
ล้อมวง	lɔ́ɔm-wong
ล้างผลาญ	láang-plǎan
ล้างมือ	láang-mʉʉ
ล้างแค้น	láang-kɛ́ɛn
ล้างแผล	láang-plɛ̌ɛ
ล้าหลัง	láa-lǎng
ล๊ก	lók
วงกลม	wong-glom
วงดนตรี	wong-don-dtrii
วงดุริยางค์	wong-dù~rí~yaang
วงศ์	wong
วณิชย์	wá~nít
วดี	wá~dii
วน	won
วรรณ	wan
วอ	wɔɔ
วอร์ม	wɔɔm
วัง	wang
วัฒนะ	wát-tá~ná
วัตถุมงคล	wát-tù-mong-kon
วัธ	wát
วันที่	wan-tîi
วันนั้น	wan-nán
วันรุ่งขึ้น	wan-rûng-kʉ̂n
วันหยุดราชการ	wan-yùt-râat-chá~gaan
วันเกิด	wan-gə̀ət
วัยทอง	wai-tɔɔng
วางเพลิง	waang-pləəng
วางใจ	waang-jai
วาเลนไทน์	waa-leen-tai
วิ	wí
วิกรม	wí-grom
วิจารณญาณ	wí-jaan-ná~yaan
วิชัย	wí-chai
วิดีโอ	wí-dii-oo
วิทยุโทรทัศน์	wít-tá~yú-too-rá~tát
วิทย์	wít
วิศวะ	wít-sà~wá
วิสามัญ	wí-sǎa-man
วิหค	wí-hòk
วิเชียร	wí-chiian
วิไล	wí-lai
วี	wii
วีซีดี	wii-sii-dii
วี่	wîi
วเดนท์	wá~den
ว่	wâa
ว่างเปล่า	wâang-bplào
ว่าแล้ว	wâa-lɛ́ɛo
ว้า	wáa
ว้าก	wáak
ว๊าปส์	wáap
ว๊าย	wáai
ว์
ศักดิ	sàk-dì
ศักดิ์สิทธิ์	sàk-sìt
ศันสนีย	sǎn-sà~nii
ศาลพระภูมิ	sǎan-prá-puum
ศุภ	sùp
ศูนย์หน้า	sǔun-nâa
ษฐา	sà~tǎa
สก็อตแลนด์	sà~gɔ́t-lɛɛn
สง	sǒng
สงกรานต์	sǒng-graan
สดี	sà~dii
สดๆ	sòt-sòt
สตรี	sà~dtrii
สตรีท	sà~dtriit
สตาร์ต	sà~dtàat
สตาร์ท	sà~dtàat
สติ	sà~dtì
สติกเกอร์	sà~dtík-gəə
สตีฟ	sà~dtiif
สตีเฟ่น	sà~dtii-fên
สต็อก	sà~dtɔ́k
สถานีโทรทัศน์	sà~tǎa-nii-too-rá~tát
สถาบัน	sà~tǎa-ban
สน	sǒn
สนามสอบ	sà~nǎam-sɔ̀ɔp
สบายดี	sà~baai-dii
สม	sǒm
สมัยก่อน	sà~mǎi-gɔ̀ɔn
สมุดบัญชี	sà~mùt-ban-chii
สมุนไพร	sà~mǔn-prai
สรรหา	sǎn-hǎa
สร่าง	sràang
สร้างชื่อเสียง	sâang-chʉ̂ʉ-sǐiang
สละ	sà~là
สละสิทธิ์	sà~là-sìt
สละเวลา	sà~là-wee-laa
สวมรอย	sǔuam-rɔɔi
สวาท	sà~wàat
สห	sà~hà
สหรัฐอเมริกา	sà~hà-rát-à~mee-rí~gaa
สอ	sɔ̌ɔ
สองต่อสอง	sɔ̌ɔng-dtɔ̀ɔ-sɔ̌ɔng
สอนพิเศษ	sɔ̌ɔn-pí-sèet
สอัพ	sɔ́-àp
สะ	sà
สะกดจิต	sà~gòt-jìt
สะดุด	sà~dùt
สะท้าน	sà~táan
สะบักสะบอม	sà~bàk-sà~bɔɔm
สะพาน	sà~paan
สะสม	sà~sǒm
สะสาง	sà~sǎang
สะอื้น	sà~ʉ̂ʉn
สักขีพยาน	sàk-kǐi-pá~yaan
